time,venue,code,raceno,runnerno,runnername,type,market,bookie,odds,result,BSP,BSP
,,,,,,,,,,,Price Win,Price Place
6/20/2025 15:11,THE GARDENS,Greyhounds,1,5,NATURE BOY,CASH,Fixed Win,Tabtouch,5.5,Error,4,1.89
6/20/2025 18:06,MURRAY BRIDGE,Greyhounds,9,6,ASTON ZINGARA,CASH,Fixed Win,Tabtouch,1.95,Error,2.13,1.2
6/20/2025 18:05,MURRAY BRIDGE,Greyhounds,9,6,ASTON ZINGARA,CASH,Fixed Win,TAB,2.1,Success,2.13,1.2
6/20/2025 17:17,MURRAY BRIDGE,Greyhounds,7,4,NAUGHTY NORM,CASH,Fixed Win,Sportsbet,1.5,Success,1.38,1.14
6/20/2025 16:52,MURRAY BRIDGE,Greyhounds,5,8,SHINY PISTOL,CASH,Fixed Win,TAB,16,Success,18.5,6.4
6/20/2025 16:41,MURRAY BRIDGE,Greyhounds,5,4,BINNAWAY MIRAGE,CASH,Fixed Win,Tabtouch,2.35,Success,2.32,1.45
6/20/2025 16:06,MURRAY BRIDGE,Greyhounds,3,7,PRINCESS CORDITE,CASH,Fixed Win,Sportsbet,5,Error,7.73,NPP
6/20/2025 15:28,MURRAY BRIDGE,Greyhounds,1,7,TILLEY SWAMP,CASH,Fixed Win,BetRight,1.7,Error,1.8,NPP
6/20/2025 15:27,MURRAY BRIDGE,Greyhounds,1,7,TILLEY SWAMP,CASH,Fixed Win,TAB,1.9,Error,1.8,NPP
6/20/2025 17:55,MILDURA,Harness,10,11,DEE ROE,CASH,Fixed Win,Tabtouch,1.36,Success,1.27,1.08
6/20/2025 17:22,MILDURA,Harness,9,7,A ROCKNROLL JET,CASH,Fixed Win,TAB,41,Error,26.87,5.1
6/20/2025 17:21,MILDURA,Harness,9,12,MERRYWOOD PAUL,CASH,Fixed Win,Tabtouch,2.2,Error,1.73,1.32
6/20/2025 17:19,MILDURA,Harness,9,5,STYLISH GEM,CASH,Fixed Win,Betr,26,Error,32,6.2
6/20/2025 16:50,MILDURA,Harness,8,10,MASON DIXON LINE,CASH,Fixed Win,TAB,15,Error,13.5,2.96
6/20/2025 16:48,MILDURA,Harness,8,6,YAPPER,CASH,Fixed Win,TAB,9,Error,11.5,2.89
6/20/2025 16:48,MILDURA,Harness,8,4,KEAYANG MOROCCAN,CASH,Fixed Win,TAB,10,Error,12.5,2.28
6/20/2025 15:37,MILDURA,Harness,6,9,TO THE NINES,CASH,Fixed Win,Dabble,2.1,Error,1.95,1.24
6/20/2025 15:36,MILDURA,Harness,6,9,TO THE NINES,CASH,Fixed Win,Tabtouch,2.35,Error,1.95,1.24
6/20/2025 15:00,MILDURA,Harness,5,4,CHEERS POVERTY,CASH,Fixed Win,TAB,5.5,Error,5.13,1.58
6/20/2025 14:57,MILDURA,Harness,5,3,RONZEL MICKY,CASH,Fixed Win,Tabtouch,2.9,Error,2.77,1.27
6/20/2025 14:16,MILDURA,Harness,4,8,FLAME BLASTER,CASH,Fixed Win,TAB,9.5,Error,6.8,2.28
6/20/2025 13:44,MILDURA,Harness,3,3,CORZAN DRAMA,CASH,Fixed Win,TAB,26,Error,42,12.53
6/20/2025 16:39,WAGGA,Harness,8,6,DONEGAL LUTHER NZ,CASH,Fixed Win,TAB,2.6,Error,3.03,1.52
6/20/2025 16:38,WAGGA,Harness,8,6,DONEGAL LUTHER NZ,CASH,Fixed Win,BetRight,2.6,Error,3.03,1.52
6/20/2025 16:35,WAGGA,Harness,8,4,CARLO GAMBINO NZ,CASH,Fixed Win,TAB,13,Error,18.2,4
6/20/2025 16:34,WAGGA,Harness,8,3,SKITTLE BOMB NZ,CASH,Fixed Win,TAB,19,Error,24,4.3
6/20/2025 15:48,WAGGA,Harness,7,4,BUSINESS IN HEAVEN,CASH,Fixed Win,Tabtouch,1.6,Success,1.3,1.14
6/20/2025 14:01,WAGGA,Harness,4,3,MOP NZ,CASH,Fixed Win,TAB,13,Error,14.49,2.44
6/20/2025 12:52,WAGGA,Harness,2,6,REWATCH,CASH,Fixed Win,TAB,1.04,Error,1.09,1.02
6/20/2025 16:01,TOWNSVILLE,Greyhounds,12,4,NOBU LAD,CASH,Fixed Win,BetRight,19,Error,24.54,8.4
6/20/2025 15:40,TOWNSVILLE,Greyhounds,11,4,HARA'S HOLLY,CASH,Fixed Win,Sportsbet,4.6,Error,5.9,1.85
6/20/2025 15:16,TOWNSVILLE,Greyhounds,10,4,GOLDEN SNITCH,CASH,Fixed Win,Sportsbet,9,Error,7.25,2.06
6/20/2025 14:21,TOWNSVILLE,Greyhounds,7,6,CLASSIC EMGRAND,CASH,Fixed Win,BetRight,21,Error,45.67,4.37
6/20/2025 14:21,TOWNSVILLE,Greyhounds,7,5,CANYA KING SETI,CASH,Fixed Win,Sportsbet,2.3,Error,3.7,1.4
6/20/2025 13:30,TOWNSVILLE,Greyhounds,4,3,EVEN BACKWARDS,CASH,Fixed Win,Betr,14,Error,16.5,3.3
6/20/2025 13:29,TOWNSVILLE,Greyhounds,4,3,EVEN BACKWARDS,CASH,Fixed Win,TAB,13,Error,16.5,3.3
6/20/2025 13:28,TOWNSVILLE,Greyhounds,4,3,EVEN BACKWARDS,CASH,Fixed Win,Dabble,18,Success,16.5,3.3
6/20/2025 13:11,TOWNSVILLE,Greyhounds,3,3,KEWARRA BEACH,CASH,Fixed Win,Tabtouch,23,Error,19.5,4.3
6/20/2025 13:10,TOWNSVILLE,Greyhounds,3,3,KEWARRA BEACH,CASH,Fixed Win,Sportsbet,26,Error,19.5,4.3
6/20/2025 13:10,TOWNSVILLE,Greyhounds,3,4,HARA'S SERENA,CASH,Fixed Win,Tabtouch,6,Success,6.6,2.2
6/20/2025 13:10,TOWNSVILLE,Greyhounds,3,2,FREDDY DODGE,CASH,Fixed Win,Tabtouch,6.5,Success,5.25,1.79
6/20/2025 13:09,TOWNSVILLE,Greyhounds,3,2,FREDDY DODGE,CASH,Fixed Win,TAB,6,Error,5.25,1.79
